Word,Frequency
seventeenth,1
severally,2
severe,1
shade,5
shades,5
shadow,1
shape,24
shapes,5
share,5
shared,2
shares,2
sharing,1
sharp,1
sheets,1
shining,2
shiny,1
shock,1
short,1
shortly,1
shut,5
sight,16
sign,4
signs,7
similarity,2
simple,6
simpler,3
simplicity,2
simplify,1
simply,6
simultaneous,2
simultaneously,5
single,17
singled,2
singular,2
sitting,4
situated,1
skeleton,1
sleeping,1
slight,4
slightest,4
slowly,1
smell,2
smelling,1
smells,1
smooth,2
smoothness,3
sober,1
society,1
sold,1
sole,3
solicit,2
solicitation,1
solid,1
solution,3
solve,1
solves,1
solving,1
sooner,5
sophistry,1
sort,42
sorts,5
sought,4
soul,1
souls,2
sound,8
sounds,7
sour,1
source,8
sources,3
south,1
space,72
spaces,11
spatial,3
speak,9
speaking,8
special,6
specially,1
species,1
spectacles,1
spectator,3
speculation,3
speculative,1
speech,1
sphere,2
spiritual,3
spite,11
spoke,1
spoken,4
spoons,1
sprang,1
staff,1
stage,4
stages,1
stand,7
standing,2
stands,6
start,7
started,1
starting,1
starts,1
stated,6
statement,14
statements,6
stating,2
status,4
step,1
stock,2
stone,1
stored,1
straight,7
straightforward,1
strange,5
strangeness,1
stranger,1
strangest,1
strenuously,2
strict,3
strictly,7
strife,2
strike,1
strikes,1
striking,1
strives,1
striving,1
strong,4
stronger,2
struck,1
structure,1
struggling,1
student,2
students,4
studied,2
studies,1
study,12
subject,25
subjected,2
subjective,3
subjects,3
sublime,1
subscribe,1
subsequent,1
subsequently,1
subsist,4
subsists,2
substance,2
substantives,5
subsumed,1
subsumptions,1
succeed,3
success,1
successful,3
succession,2
successively,1
suddenly,2
suffering,1
suffice,4
sufficed,1
suffices,2
sufficient,5
suggested,4
suggestion,1
suggestions,1
suggests,2
suitable,2
sum,2
sun,32
sunrise,3
sunset,1
supplied,1
supplies,2
supply,3
support,8
suppose,26
supposed,22
supposing,9
supposition,4
surface,2
surprised,1
surprising,3
surrender,1
surrounded,1
survey,4
surveys,1
survive,1
surviving,1
suspect,2
suspended,1
swamp,1
swans,4
sweet,1
synonymous,1
synthesis,2
synthetic,2
systematic,2
systematize,1
systems,2
table,91
tablecloth,1
tables,2
tactile,1
takes,2
tap,1
task,1
taste,4
tasting,1
taught,1
tautology,2
tax,6
taxes,1
teaching,2
telegram,1
tells,8
temper,1
temperaments,1
tempted,1
tend,2
tendency,2
tending,1
tenet,1
term,1
terms,53
testimony,5
texts,1
texture,1
theoretically,6
theories,3
theory,21
theses,1
thesis,1
thinking,11
thraldom,1
throw,1
throws,1
thunder,3
thwarting,1
time,60
timeless,1
times,10
tincture,1
told,3
tolerably,1
tongue,1
toothache,1
topics,1
total,1
touch,15
touched,2
touches,1
touching,3
trademark,12
tradition,2
traditional,1
trains,1
trammels,1
transcribe,1
transcription,1
transfer,1
transform,1
transitory,1
travel,3
travelled,2
travels,1
treated,1
treating,1
treatment,1
tree,22
triangle,7
triangles,5
triangularity,1
trifling,1
trivial,4
trotting,1
trouble,1
troubled,1
troubles,1
true,129
truism,4
trust,2
trusted,1
trustworthiness,5
trustworthy,2
truth,87
truths,47
tuning,1
twos,2
type,1
types,1
typical,1
tyranny,1
ultimate,7
ultimately,5
unable,3
unaccustomed,1
unaffected,1
unalloyed,2
unattainable,1
uncertain,1
uncertainty,3
unchangeable,2
unchanged,1
unchanging,1
uncomfortable,1
uncommon,1
unconscious,1
unconsciously,2
undeniable,1
undeniably,1
underlie,1
underlies,1
underlying,2
understand,21
understood,6
undertake,1
undiminished,1
undoubtedly,4
undue,1
unduly,3
unenforceability,1
unexamined,2
unexpectedly,1
unexperienced,1
unfamiliar,2
unhesitatingly,2
uniform,2
uniformities,3
uniformity,4
unimportant,1
union,6
united,3
unites,1
uniting,1
unity,12
universal,29
universality,2
universals,55
universe,30
unknowable,3
unknown,3
unlearn,1
unlink,1
unnecessary,3
unplausible,1
unprotected,1
unpublished,1
unreal,2
unreality,2
unreasonable,2
unreflectingly,1
unreflective,1
unsafe,1
unsolicited,1
unsolved,1
unsound,1
unsuspected,1
untrue,3
unusual,1
unwarrantable,1
unwise,1
updated,1
upset,1
upstairs,1
urged,3
urges,1
usage,1
useless,3
user,3
usual,3
utility,3
utter,2
uttering,2
utterly,2
vague,4
vagueness,1
vaguer,1
vain,1
valid,10
validity,7
validly,4
valleys,1
valuable,4
variable,1
variations,1
variety,1
variously,1
vary,2
varying,1
vast,1
veil,1
verbs,7
verification,1
version,1
view,52
viewed,2
viewing,1
views,5
vindicate,1
violates,1
violent,1
virtue,5
virtuous,1
virus,1
visit,2
visual,2
vital,2
vitally,2
vivid,2
vividness,2
voice,1
voices,1
void,1
volume,1
volunteer,1
volunteers,4
votes,3
voyage,1
waking,5
walk,1
walks,1
walled,1
walls,1
war,1
warranties,1
warrants,1
waste,1
waves,5
wear,1
wearing,1
weather,1
weight,1
west,1
whatsoever,2
white,16
whiteness,15
wholly,17
wide,3
wider,2
widespread,2
widest,4
window,1
wisdom,2
wise,1
wishes,5
wonderful,1
wooden,1
word,38
wore,1
worlds,4
worst,1
worth,5
worthy,2
wrings,1
writers,1
writing,5
writings,2
written,3
wrong,6
wrongly,3
wrung,2
yesterday,4
yield,1
